Entity,Code,Day,Fully vaccinated,Unvaccinated or not fully vaccinated,Fully vaccinated + booster
All ages,,2021-09-04,0.6831707192946268,3.0282952507058236,0.0789160725303669
All ages,,2021-09-11,0.8560599918964846,1.884962191134072,0.07642989254937425
All ages,,2021-09-18,0.7630697534590358,2.1253603341211487,0.12180950343380016
All ages,,2021-09-25,0.3978618296228608,1.1556631596931721,0.018700903227839474
All ages,,2021-10-02,0.31083079520327817,0.46797917930646016,0.008290247366362255
All ages,,2021-10-09,0.48517481594626755,1.4235556886302598,0.009922131369304296
All ages,,2021-10-16,0.2588052209434447,0.8494784990120442,0.009617773083706599
All ages,,2021-10-23,0.30538947151614193,1.0952859390546401,0.009475849137068448
All ages,,2021-10-30,0.5581328550495517,2.2132967878041474,0.009366271939236163
All ages,,2021-11-06,0.6644426812006494,2.499089905103202,0.045733795634866986
All ages,,2021-11-13,0.9262322976395585,2.2851062840611536,0.016405472863684746
All ages,,2021-11-20,1.255088578278698,4.865621332507866,0.008782728010269265
All ages,,2021-11-27,1.6808950204262487,4.729806029964381,0.13612045506952009
All ages,,2021-12-04,1.987275467261395,3.1546580345492687,0.2279353730109376
All ages,,2021-12-11,1.5759193981635224,5.592857396063754,0.14483596919293773
All ages,,2021-12-18,1.5123490465861473,4.233825697535827,0.2045118745168411
All ages,,2021-12-25,1.1477487064726772,3.8260061182585874,0.1251379928175872
All ages,,2022-01-01,0.6258355159351892,3.257669571583688,0.13086864602681864
All ages,,2022-01-08,1.0646296584906345,2.2623251729208764,0.12985635054539924
All ages,,2022-01-15,1.3172146084039587,1.8116894562094203,0.19268279871849053
